,Constant Term,crim^1,rooms^1,dis^1,age^1,nox^1,indus^1,ptratio^1,zn^1,lstat^1,tax^2,tax^1 x crim^1,tax^1 x rooms^1,tax^1 x dis^1,tax^1 x age^1,tax^1 x nox^1,tax^1 x indus^1,tax^1 x ptratio^1,tax^1 x zn^1,tax^1 x lstat^1,crim^2,crim^1 x rooms^1,crim^1 x dis^1,crim^1 x age^1,crim^1 x nox^1,crim^1 x indus^1,crim^1 x ptratio^1,crim^1 x zn^1,crim^1 x lstat^1,rooms^2,rooms^1 x dis^1,rooms^1 x age^1,rooms^1 x nox^1,rooms^1 x indus^1,rooms^1 x ptratio^1,rooms^1 x zn^1,rooms^1 x lstat^1,dis^2,dis^1 x age^1,dis^1 x nox^1,dis^1 x indus^1,dis^1 x ptratio^1,dis^1 x zn^1,dis^1 x lstat^1,age^2,age^1 x nox^1,age^1 x indus^1,age^1 x ptratio^1,age^1 x zn^1,age^1 x lstat^1,nox^2,nox^1 x indus^1,nox^1 x ptratio^1,nox^1 x zn^1,nox^1 x lstat^1,indus^2,indus^1 x ptratio^1,indus^1 x zn^1,indus^1 x lstat^1,ptratio^2,ptratio^1 x zn^1,ptratio^1 x lstat^1,zn^2,zn^1 x lstat^1,lstat^2,chas,rad,neighborhood (group)_GroupB,neighborhood (group)_GroupC,neighborhood (group)_GroupD,neighborhood (group)_GroupE,neighborhood (group)_GroupF,neighborhood (group)_GroupG
238,300.0,0.08244,6.481,6.1899,18.5,0.428,4.93,16.6,30.0,6.36,90000.0,24.732,1944.3,1856.97,5550.0,128.4,1479.0,4980.0,9000.0,1908.0,0.0067963536,0.53429364,0.510295356,1.52514,0.03528432,0.4064292,1.3685040000000002,2.4732,0.5243184000000001,42.003361,40.1167419,119.8985,2.773868,31.95133,107.58460000000001,194.43,41.21916,38.31486201,114.51315,2.6492771999999998,30.516206999999998,102.75234,185.697,39.367764,342.25,7.918,91.205,307.1,555.0,117.66000000000001,0.18318399999999999,2.1100399999999997,7.104800000000001,12.84,2.72208,24.304899999999996,81.83800000000001,147.89999999999998,31.3548,275.56000000000006,498.00000000000006,105.57600000000001,900.0,190.8,40.449600000000004,0,6,1,0,0,0,0,0
383,666.0,7.9924800000000005,5.52,1.5331,100.0,0.7,18.1,20.2,0.0,24.56,443556.0,5322.99168,3676.3199999999997,1021.0446,66600.0,466.2,12054.6,13453.199999999999,0.0,16356.96,63.879736550400004,44.1184896,12.253271088,799.248,5.594736,144.66388800000001,161.448096,0.0,196.29530880000002,30.470399999999994,8.462711999999998,552.0,3.8639999999999994,99.912,111.50399999999999,0.0,135.57119999999998,2.3503956099999996,153.31,1.07317,27.74911,30.968619999999998,0.0,37.652936,10000.0,70.0,1810.0000000000002,2020.0,0.0,2456.0,0.48999999999999994,12.67,14.139999999999999,0.0,17.191999999999997,327.61000000000007,365.62,0.0,444.536,408.03999999999996,0.0,496.11199999999997,0.0,0.0,603.1936,0,24,0,0,0,0,1,0
237,307.0,0.51183,7.358,4.148,71.6,0.507,6.2,17.4,0.0,4.73,94249.0,157.13181,2258.906,1273.436,21981.199999999997,155.649,1903.4,5341.799999999999,0.0,1452.1100000000001,0.2619699489,3.7660451399999997,2.12307084,36.647028,0.25949781,3.173346,8.905842,0.0,2.4209559,54.14016399999999,30.520983999999995,526.8327999999999,3.7305059999999997,45.6196,128.02919999999997,0.0,34.80334,17.205903999999997,296.99679999999995,2.103036,25.717599999999997,72.17519999999999,0.0,19.62004,5126.5599999999995,36.301199999999994,443.91999999999996,1245.8399999999997,0.0,338.668,0.257049,3.1434,8.8218,0.0,2.3981100000000004,38.440000000000005,107.88,0.0,29.326000000000004,302.75999999999993,0.0,82.302,0.0,0.0,22.372900000000005,0,8,0,1,0,0,0,0
285,300.0,0.01096,6.452999999999999,7.3073,31.9,0.389,2.25,15.3,55.0,8.23,90000.0,3.288,1935.8999999999999,2192.19,9570.0,116.7,675.0,4590.0,16500.0,2469.0,0.00012012159999999999,0.07072487999999999,0.08008800799999999,0.34962399999999993,0.004263439999999999,0.024659999999999998,0.167688,0.6028,0.0902008,41.64120899999999,47.15400689999999,205.85069999999996,2.510217,14.51925,98.73089999999999,354.91499999999996,53.10819,53.39663329,233.10286999999997,2.8425397,16.441425,111.80169,401.9015,60.139079,1017.6099999999999,12.4091,71.77499999999999,488.07,1754.5,262.537,0.151321,0.8752500000000001,5.951700000000001,21.395,3.2014700000000005,5.0625,34.425000000000004,123.75,18.517500000000002,234.09000000000003,841.5,125.91900000000001,3025.0,452.65000000000003,67.7329,0,1,1,0,0,0,0,0
396,666.0,5.87205,6.405,1.6768,96.0,0.693,18.1,20.2,0.0,19.37,443556.0,3910.7853,4265.7300000000005,1116.7488,63936.0,461.53799999999995,12054.6,13453.199999999999,0.0,12900.42,34.480971202499994,37.61048025,9.84625344,563.7167999999999,4.0693306499999995,106.28410500000001,118.61541,0.0,113.7416085,41.024025,10.739904000000001,614.88,4.438664999999999,115.93050000000001,129.381,0.0,124.06485,2.8116582400000003,160.9728,1.1620224,30.350080000000002,33.87136,0.0,32.479616,9216.0,66.52799999999999,1737.6000000000001,1939.1999999999998,0.0,1859.52,0.4802489999999999,12.5433,13.998599999999998,0.0,13.42341,327.61000000000007,365.62,0.0,350.59700000000004,408.03999999999996,0.0,391.274,0.0,0.0,375.1969,0,24,0,0,0,0,1,0
279,216.0,0.21038,6.812,4.1007,32.2,0.4429,3.33,14.9,20.0,4.85,46656.0,45.442080000000004,1471.392,885.7511999999999,6955.200000000001,95.66640000000001,719.28,3218.4,4320.0,1047.6,0.0442597444,1.4331085600000002,0.862705266,6.774236000000001,0.093177302,0.7005654,3.134662,4.2076,1.020343,46.403344000000004,27.9339684,219.34640000000002,3.0170348000000002,22.683960000000003,101.4988,136.24,33.038199999999996,16.81574049,132.04254,1.81620003,13.655331,61.100429999999996,82.014,19.888395,1036.8400000000001,14.261380000000003,107.22600000000001,479.78000000000003,644.0,156.17000000000002,0.19616041,1.474857,6.59921,8.858,2.148065,11.0889,49.617000000000004,66.6,16.150499999999997,222.01000000000002,298.0,72.265,400.0,97.0,23.522499999999997,0,5,0,0,0,0,0,1
454,666.0,9.513630000000001,6.728,2.4961,94.1,0.713,18.1,20.2,0.0,18.71,443556.0,6336.077580000001,4480.848,1662.4026000000001,62670.6,474.858,12054.6,13453.199999999999,0.0,12460.86,90.50915577690002,64.00770264,23.746971843000004,895.232583,6.78321819,172.19670300000004,192.175326,0.0,178.00001730000002,45.265983999999996,16.7937608,633.1048,4.797064,121.77680000000001,135.9056,0.0,125.88088,6.230515210000001,234.88301,1.7797193,45.179410000000004,50.421220000000005,0.0,46.702031000000005,8854.81,67.0933,1703.21,1900.8199999999997,0.0,1760.6109999999999,0.508369,12.9053,14.4026,0.0,13.34023,327.61000000000007,365.62,0.0,338.65100000000007,408.03999999999996,0.0,377.942,0.0,0.0,350.06410000000005,0,24,0,0,0,0,1,0
83,281.0,0.03551,6.167000000000001,5.4007,46.7,0.426,4.86,19.0,25.0,7.51,78961.0,9.97831,1732.9270000000001,1517.5966999999998,13122.7,119.706,1365.66,5339.0,7025.0,2110.31,0.0012609601,0.21899017,0.191778857,1.658317,0.01512726,0.1725786,0.67469,0.88775,0.2666801,38.03188900000001,33.3061169,287.99890000000005,2.627142,29.971620000000005,117.17300000000002,154.175,46.314170000000004,29.167560489999996,252.21269,2.3006982,26.247402,102.6133,135.01749999999998,40.559256999999995,2180.8900000000003,19.8942,226.96200000000002,887.3000000000001,1167.5,350.717,0.181476,2.07036,8.094,10.65,3.1992599999999998,23.619600000000002,92.34,121.50000000000001,36.4986,361.0,475.0,142.69,625.0,187.75,56.400099999999995,0,4,1,0,0,0,0,0
92,270.0,0.04203,6.442,3.6659,53.6,0.46399999999999997,15.04,18.2,28.0,8.16,72900.0,11.348099999999999,1739.3400000000001,989.793,14472.0,125.27999999999999,4060.7999999999997,4914.0,7560.0,2203.2,0.0017665208999999998,0.27075726,0.154077777,2.252808,0.01950192,0.6321311999999999,0.7649459999999999,1.1768399999999999,0.3429648,41.499364,23.615727800000002,345.2912,2.9890879999999997,96.88768,117.2444,180.376,52.566720000000004,13.438822810000001,196.49224,1.7009775999999999,55.135136,66.71938,102.6452,29.913744,2872.96,24.8704,806.144,975.52,1500.8,437.37600000000003,0.21529599999999996,6.978559999999999,8.444799999999999,12.991999999999999,3.78624,226.20159999999998,273.72799999999995,421.12,122.7264,331.23999999999995,509.59999999999997,148.512,784.0,228.48000000000002,66.5856,0,4,1,0,0,0,0,0
45,233.0,0.17142000000000002,5.682,5.1004,33.8,0.44799999999999995,6.91,17.9,0.0,10.21,54289.0,39.94086,1323.9060000000002,1188.3932,7875.4,104.38399999999999,1610.03,4170.7,0.0,2378.9300000000003,0.029384816400000006,0.9740084400000002,0.8743105680000001,5.793996,0.07679616,1.1845122000000001,3.068418,0.0,1.7501982000000003,32.285124,28.9804728,192.0516,2.545536,39.262620000000005,101.70779999999999,0.0,58.01322000000001,26.014080159999995,172.39351999999997,2.2849791999999995,35.243764,91.29715999999999,0.0,52.075084,1142.4399999999998,15.142399999999997,233.558,605.0199999999999,0.0,345.098,0.20070399999999997,3.0956799999999998,8.019199999999998,0.0,4.5740799999999995,47.7481,123.689,0.0,70.5511,320.40999999999997,0.0,182.75900000000001,0.0,0.0,104.24410000000002,0,3,0,0,0,0,0,0
317,304.0,0.24522,5.782,4.0317,71.7,0.544,9.9,18.4,0.0,15.94,92416.0,74.54688,1757.728,1225.6368,21796.8,165.376,3009.6,5593.599999999999,0.0,4845.76,0.060132848399999994,1.41786204,0.9886534739999999,17.582274,0.13339968,2.4276780000000002,4.512047999999999,0.0,3.9088068,33.431524,23.3112894,414.56940000000003,3.145408,57.241800000000005,106.38879999999999,0.0,92.16508,16.25460489,289.07289,2.1932448,39.91383,74.18328,0.0,64.265298,5140.89,39.0048,709.83,1319.28,0.0,1142.898,0.29593600000000003,5.3856,10.0096,0.0,8.67136,98.01,182.16,0.0,157.806,338.55999999999995,0.0,293.296,0.0,0.0,254.0836,0,4,0,0,0,0,0,0
46,233.0,0.18836,5.7860000000000005,5.1004,33.3,0.44799999999999995,6.91,17.9,0.0,14.15,54289.0,43.88788,1348.1380000000001,1188.3932,7758.9,104.38399999999999,1610.03,4170.7,0.0,3296.9500000000003,0.0354794896,1.0898509600000001,0.9607113439999999,6.272387999999999,0.08438528,1.3015676,3.371644,0.0,2.6652940000000003,33.477796000000005,29.5109144,192.6738,2.5921279999999998,39.981260000000006,103.5694,0.0,81.87190000000001,26.014080159999995,169.84331999999998,2.2849791999999995,35.243764,91.29715999999999,0.0,72.17066,1108.8899999999999,14.918399999999997,230.10299999999998,596.0699999999999,0.0,471.195,0.20070399999999997,3.0956799999999998,8.019199999999998,0.0,6.3392,47.7481,123.689,0.0,97.7765,320.40999999999997,0.0,253.285,0.0,0.0,200.2225,0,3,0,0,0,0,0,0
185,193.0,0.06047,6.153,3.2797,68.8,0.488,2.46,17.8,0.0,13.15,37249.0,11.67071,1187.529,632.9821000000001,13278.4,94.184,474.78,3435.4,0.0,2537.9500000000003,0.0036566209000000005,0.37207191,0.198323459,4.160336,0.029509360000000002,0.1487562,1.0763660000000002,0.0,0.7951805000000001,37.85940899999999,20.1799941,423.3264,3.0026639999999998,15.136379999999999,109.5234,0.0,80.91194999999999,10.75643209,225.64336,1.6004936,8.068062,58.37866,0.0,43.128055,4733.44,33.5744,169.248,1224.64,0.0,904.72,0.238144,1.20048,8.6864,0.0,6.4172,6.0516,43.788000000000004,0.0,32.349000000000004,316.84000000000003,0.0,234.07000000000002,0.0,0.0,172.9225,0,3,0,1,0,0,0,0
247,330.0,0.19657,6.226,8.0555,79.2,0.431,5.86,19.1,22.0,10.15,108900.0,64.8681,2054.58,2658.315,26136.0,142.23,1933.8000000000002,6303.000000000001,7260.0,3349.5,0.0386397649,1.22384482,1.583469635,15.568344,0.08472167,1.1519002,3.754487,4.32454,1.9951855,38.763076,50.153543,493.0992,2.6834059999999997,36.48436,118.9166,136.972,63.1939,64.89108025,637.9956000000001,3.4719205,47.20523000000001,153.86005000000003,177.221,81.76332500000001,6272.64,34.1352,464.112,1512.7200000000003,1742.4,803.8800000000001,0.18576099999999998,2.5256600000000002,8.2321,9.482,4.37465,34.339600000000004,111.92600000000002,128.92000000000002,59.479000000000006,364.81000000000006,420.20000000000005,193.865,484.0,223.3,103.02250000000001,0,7,1,0,0,0,0,0
299,358.0,0.05561,7.041,7.8278,10.0,0.4,2.24,14.8,70.0,4.74,128164.0,19.90838,2520.6780000000003,2802.3523999999998,3580.0,143.20000000000002,801.9200000000001,5298.400000000001,25060.0,1696.92,0.0030924721,0.39155001,0.435303958,0.5561,0.022244,0.12456640000000001,0.823028,3.8927,0.26359140000000003,49.575681,55.1155398,70.41,2.8164000000000002,15.771840000000003,104.20680000000002,492.87,33.374340000000004,61.274452839999995,78.27799999999999,3.13112,17.534272,115.85144,547.946,37.103772,100.0,4.0,22.400000000000002,148.0,700.0,47.400000000000006,0.16000000000000003,0.8960000000000001,5.920000000000001,28.0,1.8960000000000001,5.017600000000001,33.15200000000001,156.8,10.617600000000001,219.04000000000002,1036.0,70.152,4900.0,331.8,22.4676,0,5,1,0,0,0,0,0
269,223.0,0.09065,5.92,3.9175,61.5,0.46399999999999997,6.96,18.6,20.0,13.65,49729.0,20.214949999999998,1320.16,873.6025,13714.5,103.472,1552.08,4147.8,4460.0,3043.9500000000003,0.008217422499999998,0.536648,0.35512137499999996,5.574974999999999,0.0420616,0.6309239999999999,1.68609,1.813,1.2373725,35.0464,23.1916,364.08,2.74688,41.2032,110.11200000000001,118.4,80.808,15.34680625,240.92625,1.8177199999999998,27.2658,72.86550000000001,78.35,53.473875,3782.25,28.535999999999998,428.04,1143.9,1230.0,839.475,0.21529599999999996,3.22944,8.6304,9.28,6.3336,48.4416,129.45600000000002,139.2,95.004,345.96000000000004,372.0,253.89000000000001,400.0,273.0,186.32250000000002,1,3,1,0,0,0,0,0
15,307.0,0.62739,5.834,4.4986,56.5,0.5379999999999999,8.14,21.0,0.0,8.47,94249.0,192.60873,1791.0379999999998,1381.0701999999999,17345.5,165.16599999999997,2498.98,6447.0,0.0,2600.2900000000004,0.39361821210000003,3.66019326,2.8223766539999997,35.447535,0.33753581999999993,5.106954600000001,13.17519,0.0,5.313993300000001,34.03555599999999,26.244832399999996,329.621,3.1386919999999994,47.48876,122.514,0.0,49.41398,20.237401959999996,254.1709,2.4202467999999997,36.618604,94.47059999999999,0.0,38.103142,3192.25,30.396999999999995,459.91,1186.5,0.0,478.55500000000006,0.2894439999999999,4.37932,11.297999999999998,0.0,4.5568599999999995,66.2596,170.94,0.0,68.9458,441.0,0.0,177.87,0.0,0.0,71.74090000000001,0,4,0,0,0,1,0,0
406,666.0,20.7162,4.138,1.1781,100.0,0.659,18.1,20.2,0.0,23.34,443556.0,13796.9892,2755.908,784.6146,66600.0,438.894,12054.6,13453.199999999999,0.0,15544.44,429.16094244000004,85.7236356,24.40575522,2071.62,13.6519758,374.96322000000004,418.46724,0.0,483.51610800000003,17.123044,4.8749778,413.8,2.726942,74.8978,83.5876,0.0,96.58091999999999,1.3879196099999997,117.80999999999999,0.7763679,21.32361,23.79762,0.0,27.496854,10000.0,65.9,1810.0000000000002,2020.0,0.0,2334.0,0.43428100000000003,11.927900000000001,13.3118,0.0,15.38106,327.61000000000007,365.62,0.0,422.454,408.03999999999996,0.0,471.46799999999996,0.0,0.0,544.7556,0,24,0,0,0,1,0,0
