DATE,POILBREUSDM
1990-01-01,21.25
1990-02-01,19.93
1990-03-01,18.37
1990-04-01,16.49
1990-05-01,16.34
1990-06-01,15.05
1990-07-01,17.14
1990-08-01,27.32
1990-09-01,35.03
1990-10-01,36.09
1990-11-01,33.2
1990-12-01,28.32
1991-01-01,23.54
1991-02-01,19.58
1991-03-01,19.13
1991-04-01,19.13
1991-05-01,19.16
1991-06-01,18.08
1991-07-01,19.42
1991-08-01,19.73
1991-09-01,20.48
1991-10-01,22.25
1991-11-01,21
1991-12-01,18.28
1992-01-01,18.55
1992-02-01,18.48
1992-03-01,17.59
1992-04-01,19.06
1992-05-01,20.03
1992-06-01,21.28
1992-07-01,20.34
1992-08-01,19.77
1992-09-01,20.31
1992-10-01,20.26
1992-11-01,19.15
1992-12-01,18.15
1993-01-01,17.35
1993-02-01,18.48
1993-03-01,18.75
1993-04-01,18.63
1993-05-01,18.51
1993-06-01,17.59
1993-07-01,16.76
1993-08-01,16.71
1993-09-01,15.99
1993-10-01,16.56
1993-11-01,15.08
1993-12-01,13.56
1994-01-01,14.22
1994-02-01,13.75
1994-03-01,13.88
1994-04-01,15.15
1994-05-01,16.26
1994-06-01,16.74
1994-07-01,17.63
1994-08-01,16.82
1994-09-01,15.85
1994-10-01,16.43
1994-11-01,17.3
1994-12-01,15.88
1995-01-01,16.55
1995-02-01,17.14
1995-03-01,17.02
1995-04-01,18.74
1995-05-01,18.32
1995-06-01,17.35
1995-07-01,15.86
1995-08-01,16.07
1995-09-01,16.66
1995-10-01,16.12
1995-11-01,16.88
1995-12-01,17.96
1996-01-01,17.94
1996-02-01,17.97
1996-03-01,19.99
1996-04-01,21.01
1996-05-01,19.15
1996-06-01,18.27
1996-07-01,19.61
1996-08-01,19.96
1996-09-01,22.06
1996-10-01,23.68
1996-11-01,22.28
1996-12-01,23.52
1997-01-01,23.47
1997-02-01,20.83
1997-03-01,19.21
1997-04-01,17.47
1997-05-01,19.14
1997-06-01,17.55
1997-07-01,18.43
1997-08-01,18.69
1997-09-01,18.45
1997-10-01,20.05
1997-11-01,19
1997-12-01,17.1
1998-01-01,15.09
1998-02-01,14.06
1998-03-01,13.08
1998-04-01,13.39
1998-05-01,14.39
1998-06-01,12.06
1998-07-01,12.04
1998-08-01,11.88
1998-09-01,13.36
1998-10-01,12.56
1998-11-01,10.92
1998-12-01,9.8
1999-01-01,10.95
1999-02-01,10.2
1999-03-01,12.12
1999-04-01,15.16
1999-05-01,15.22
1999-06-01,15.6
1999-07-01,18.71
1999-08-01,20.17
1999-09-01,22.11
1999-10-01,22.12
1999-11-01,24.55
1999-12-01,25.48
2000-01-01,25.22
2000-02-01,27.63
2000-03-01,27.47
2000-04-01,22.54
2000-05-01,27.4
2000-06-01,29.68
2000-07-01,28.51
2000-08-01,29.89
2000-09-01,32.62
2000-10-01,30.93
2000-11-01,32.52
2000-12-01,25.28
2001-01-01,25.64
2001-02-01,27.41
2001-03-01,24.4
2001-04-01,25.55
