DATE,PNICKUSDM
1990-01-01,7056
1990-02-01,6977
1990-03-01,9267
1990-04-01,8939
1990-05-01,8698
1990-06-01,8422
1990-07-01,9318
1990-08-01,10957
1990-09-01,10844
1990-10-01,9145
1990-11-01,8587
1990-12-01,8158
1991-01-01,8569
1991-02-01,8672
1991-03-01,8700
1991-04-01,9023
1991-05-01,8499.609375
1991-06-01,8296.5
1991-07-01,8515.201171875
1991-08-01,8154.75
1991-09-01,7675.953125
1991-10-01,7453.86328125
1991-11-01,7258.5
1991-12-01,7140.263671875
1992-01-01,7531.13671875
1992-02-01,7888
1992-03-01,7430.455078125
1992-04-01,7417.951171875
1992-05-01,7333.947265625
1992-06-01,7202.36328125
1992-07-01,7516.173828125
1992-08-01,7279.75
1992-09-01,6918.572265625
1992-10-01,6322.5
1992-11-01,5593.71484375
1992-12-01,5751.1904296875
1993-01-01,5948.10009765625
1993-02-01,6050.75
1993-03-01,5974.9130859375
1993-04-01,5987.5
1993-05-01,5777.78955078125
1993-06-01,5544.318359375
1993-07-01,5051.181640625
1993-08-01,4740.47607421875
1993-09-01,4376.04541015625
1993-10-01,4464.85693359375
1993-11-01,4642.27294921875
1993-12-01,5139.7998046875
1994-01-01,5584.0478515625
1994-02-01,5830.10009765625
1994-03-01,5590.4345703125
1994-04-01,5400.26318359375
1994-05-01,6082.85693359375
1994-06-01,6287.04541015625
1994-07-01,6230.5712890625
1994-08-01,5856.13623046875
1994-09-01,6370.681640625
1994-10-01,6735.85693359375
1994-11-01,7474.54541015625
1994-12-01,8540.650390625
1995-01-01,9596.1904296875
1995-02-01,8431.25
1995-03-01,7522.39111328125
1995-04-01,7405
1995-05-01,7262.380859375
1995-06-01,7877.27294921875
1995-07-01,8618
1995-08-01,8931.818359375
1995-09-01,8397.25
1995-10-01,8068.86376953125
1995-11-01,8498.095703125
1995-12-01,8074.21044921875
1996-01-01,7870.71435546875
1996-02-01,8198.5
1996-03-01,8046.39990234375
1996-04-01,8047
1996-05-01,8042.85693359375
1996-06-01,7713.15771484375
1996-07-01,7202.60888671875
1996-08-01,7037.619140625
1996-09-01,7329.8095703125
1996-10-01,7028.69580078125
1996-11-01,6960.71435546875
1996-12-01,6571.0478515625
1997-01-01,7069.13623046875
1997-02-01,7736.5791015625
1997-03-01,7893.21044921875
1997-04-01,7313.13623046875
1997-05-01,7476
1997-06-01,7060
1997-07-01,6832.7392578125
1997-08-01,6764.4501953125
1997-09-01,6498.28564453125
1997-10-01,6373.47802734375
1997-11-01,6137.25
1997-12-01,5942.380859375
1998-01-01,5489
1998-02-01,5367.25
1998-03-01,5397.04541015625
1998-04-01,5391
1998-05-01,5016.84228515625
1998-06-01,4456.90478515625
1998-07-01,4332.619140625
1998-08-01,4078
1998-09-01,4100.9091796875
1998-10-01,3870.45458984375
1998-11-01,4117.25
1998-12-01,3865.76318359375
1999-01-01,4264
1999-02-01,4623.25
1999-03-01,5002.95454545455
1999-04-01,5054.75
1999-05-01,5395.78947368421
1999-06-01,5194.77272727273
1999-07-01,5696.36363636364
1999-08-01,6431.42857142857
1999-09-01,7029.09090909091
