DATE,POILWTIUSDM
1990-01-01,22.96
1990-02-01,22.12
1990-03-01,20.41
1990-04-01,18.43
1990-05-01,18.25
1990-06-01,16.69
1990-07-01,18.42
1990-08-01,27.23
1990-09-01,33.8
1990-10-01,36.13
1990-11-01,32.44
1990-12-01,27.33
1991-01-01,25.2
1991-02-01,20.5
1991-03-01,19.87
1991-04-01,20.77
1991-05-01,21.24
1991-06-01,20.21
1991-07-01,21.52
1991-08-01,21.7
1991-09-01,21.86
1991-10-01,23.3
1991-11-01,22.46
1991-12-01,19.51
1992-01-01,18.76
1992-02-01,18.99
1992-03-01,18.92
1992-04-01,20.23
1992-05-01,20.97
1992-06-01,22.37
1992-07-01,21.77
1992-08-01,21.31
1992-09-01,21.9
1992-10-01,21.69
1992-11-01,20.33
1992-12-01,19.42
1993-01-01,19.06
1993-02-01,20.04
1993-03-01,20.32
1993-04-01,20.26
1993-05-01,19.94
1993-06-01,19.11
1993-07-01,17.86
1993-08-01,18.01
1993-09-01,17.51
1993-10-01,18.16
1993-11-01,16.68
1993-12-01,14.51
1994-01-01,15.01
1994-02-01,14.77
1994-03-01,14.65
1994-04-01,16.4
1994-05-01,17.88
1994-06-01,19.07
1994-07-01,19.65
1994-08-01,18.38
1994-09-01,17.45
1994-10-01,17.7
1994-11-01,18.07
1994-12-01,17.17
1995-01-01,18.02
1995-02-01,18.55
1995-03-01,18.55
1995-04-01,19.91
1995-05-01,19.73
1995-06-01,18.42
1995-07-01,17.3
1995-08-01,18.01
1995-09-01,18.22
1995-10-01,17.43
1995-11-01,18.01
1995-12-01,19.03
1996-01-01,18.87
1996-02-01,19.09
1996-03-01,21.31
1996-04-01,23.56
1996-05-01,21.21
1996-06-01,20.42
1996-07-01,21.29
1996-08-01,21.94
1996-09-01,24.01
1996-10-01,24.9
1996-11-01,23.61
1996-12-01,25.37
1997-01-01,25.17
1997-02-01,22.19
1997-03-01,20.98
1997-04-01,19.71
1997-05-01,20.83
1997-06-01,19.17
1997-07-01,19.63
1997-08-01,19.92
1997-09-01,19.77
1997-10-01,21.25
1997-11-01,20.1
1997-12-01,18.3
1998-01-01,16.7
1998-02-01,16.06
1998-03-01,15.11
1998-04-01,15.32
1998-05-01,14.9
1998-06-01,13.71
1998-07-01,14.12
1998-08-01,13.4
1998-09-01,14.98
1998-10-01,14.42
1998-11-01,12.96
1998-12-01,11.31
1999-01-01,12.34
1999-02-01,11.99
1999-03-01,14.36
1999-04-01,17.23
1999-05-01,17.75
1999-06-01,17.72
1999-07-01,19.89
1999-08-01,21.17
1999-09-01,23.52
1999-10-01,22.94
1999-11-01,25.06
1999-12-01,26.02
2000-01-01,27.24
2000-02-01,29.21
2000-03-01,29.92
2000-04-01,25.78
2000-05-01,28.78
2000-06-01,31.86
2000-07-01,29.97
2000-08-01,31.31
2000-09-01,33.89
2000-10-01,33.05
2000-11-01,34.37
2000-12-01,28.4
2001-01-01,29.52
2001-02-01,29.57
2001-03-01,27.24
2001-04-01,27.37
2001-05-01,28.61
2001-06-01,27.56
2001-07-01,26.44
2001-08-01,27.45
2001-09-01,25.59
2001-10-01,22.18
2001-11-01,19.59
2001-12-01,19.31
2002-01-01,19.69
2002-02-01,20.72
2002-03-01,24.38
2002-04-01,26.24
2002-05-01,27.04
2002-06-01,25.51
2002-07-01,26.92
2002-08-01,28.37
2002-09-01,29.67
2002-10-01,28.85
2002-11-01,26.56
2002-12-01,29.44
2003-01-01,32.9152173913043
2003-02-01,35.8525
2003-03-01,33.3157142857143
2003-04-01,28.3281818181818
2003-05-01,28.2018181818182
2003-06-01,30.71
2003-07-01,30.734347826087
2003-08-01,31.5838095238095
2003-09-01,28.4331818181818
2003-10-01,30.3217391304348
2003-11-01,31.024
2003-12-01,32.1786956521739
2004-01-01,34.1240909090909
2004-02-01,34.7215
2004-03-01,36.7313043478261
2004-04-01,36.7404545454545
2004-05-01,40.2657142857143
2004-06-01,38.05
2004-07-01,40.7113636363636
2004-08-01,44.9236363636364
2004-09-01,45.8422727272727
2004-10-01,53.2461904761905
2004-11-01,48.5204545454546
2004-12-01,43.2734782608696
2005-01-01,46.8942857142857
2005-02-01,47.982
2005-03-01,54.0430434782609
2005-04-01,52.9628571428571
2005-05-01,49.9063636363636
2005-06-01,56.3890909090909
2005-07-01,58.67
2005-08-01,64.955652173913
2005-09-01,65.6304545454545
2005-10-01,62.3638095238095
2005-11-01,58.2990909090909
2005-12-01,59.3604545454546
2006-01-01,65.2104545454545
2006-02-01,61.5285
2006-03-01,62.8895652173913
2006-04-01,69.5315
