DATE,PGNUTSUSDM
1990-01-01,864.35
1990-02-01,823.75
1990-03-01,795.91
1990-04-01,761.43
1990-05-01,768.48
1990-06-01,767.38
1990-07-01,778.18
1990-08-01,963.04
1990-09-01,1252.5
1990-10-01,1780.43
1990-11-01,1743.18
1990-12-01,1488.1
1991-01-01,1319.57
1991-02-01,1668.75
1991-03-01,1700
1991-04-01,1543.18
1991-05-01,982.61
1991-06-01,1000
1991-07-01,938.04
1991-08-01,826.14
1991-09-01,750
1991-10-01,740.43
1991-11-01,714.76
1991-12-01,650
1992-01-01,661.96
1992-02-01,675
1992-03-01,660.23
1992-04-01,645.45
1992-05-01,630
1992-06-01,632.73
1992-07-01,660
1992-08-01,660
1992-09-01,640
1992-10-01,640
1992-11-01,640
1992-12-01,646.52
1993-01-01,670
1993-02-01,693.5
1993-03-01,772.61
1993-04-01,780
1993-05-01,812.38
1993-06-01,931.82
1993-07-01,930
1993-08-01,945.45
1993-09-01,1145.91
1993-10-01,1150
1993-11-01,1150
1993-12-01,1150
1994-01-01,1150
1994-02-01,1150
1994-03-01,958.26
1994-04-01,940
1994-05-01,905
1994-06-01,870
1994-07-01,870
1994-08-01,870
1994-09-01,870
1994-10-01,870
1994-11-01,829.09
1994-12-01,770
1995-01-01,770
1995-02-01,770
1995-03-01,774.78
1995-04-01,779.75
1995-05-01,777.83
1995-06-01,812.73
1995-07-01,818.1
1995-08-01,791.3
1995-09-01,800
1995-10-01,898.18
1995-11-01,924.55
1995-12-01,882.86
1996-01-01,852.17
1996-02-01,835.24
1996-03-01,829.05
1996-04-01,811.36
1996-05-01,813.91
1996-06-01,800
1996-07-01,803.48
1996-08-01,793.18
1996-09-01,797.14
1996-10-01,806.96
1996-11-01,794.76
1996-12-01,784.09
1997-01-01,756.52
1997-02-01,750.75
1997-03-01,800.48
1997-04-01,883.18
1997-05-01,955.45
1997-06-01,930.95
1997-07-01,909.57
1997-08-01,906.67
1997-09-01,914.55
1997-10-01,943.91
1997-11-01,895
1997-12-01,843.48
1998-01-01,807.27
1998-02-01,770
1998-03-01,744.09
1998-04-01,740
1998-05-01,739.52
1998-06-01,803.18
1998-07-01,892.61
1998-08-01,946.19
1998-09-01,841.36
1998-10-01,752.27
1998-11-01,754.76
1998-12-01,750
1999-01-01,734.29
1999-02-01,704
1999-03-01,712.61
1999-04-01,717.27
1999-05-01,757.14
1999-06-01,804.09
1999-07-01,798.64
1999-08-01,749.55
1999-09-01,766.82
1999-10-01,769.05
1999-11-01,819.09
1999-12-01,819.13
2000-01-01,780.95
2000-02-01,823.81
2000-03-01,794.78
2000-04-01,808
2000-05-01,805.22
2000-06-01,785.45
2000-07-01,765.24
2000-08-01,763.91
2000-09-01,772.38
2000-10-01,744.55
2000-11-01,781.82
2000-12-01,800
2001-01-01,808.7
2001-02-01,800
2001-03-01,788.64
2001-04-01,748.57
2001-05-01,740
2001-06-01,736.19
2001-07-01,760.91
2001-08-01,771.3
2001-09-01,750
2001-10-01,715.65
2001-11-01,719.09
2001-12-01,700
2002-01-01,700
2002-02-01,700
2002-03-01,676.67
2002-04-01,618.18
2002-05-01,586.09
2002-06-01,601
2002-07-01,605.65
2002-08-01,629.55
2002-09-01,650
2002-10-01,650
2002-11-01,693.81
