DATE,POLVOILUSDM
1990-01-01,2972.682
1990-02-01,3052.71
1990-03-01,2925.144
1990-04-01,2945.97
1990-05-01,3021.102
1990-06-01,3074.49
1990-07-01,3252.204
1990-08-01,3416.706
1990-09-01,3383.622
1990-10-01,3501.09
1990-11-01,3535.092
1990-12-01,3468.996
1991-01-01,3480.696
1991-02-01,3538.314
1991-03-01,3295.728
1991-04-01,3149.82
1991-05-01,3107.34
1991-06-01,2965.842
1991-07-01,2966.346
1991-08-01,3030.12
1991-09-01,3102.606
1991-10-01,3100.446
1991-11-01,3199.41
1991-12-01,3281.67
1992-01-01,3261.654
1992-02-01,3198.402
1992-03-01,3104.064
1992-04-01,3161.988
1992-05-01,3259.134
1992-06-01,3335.562
1992-07-01,3454.2
1992-08-01,3490.254
1992-09-01,3342.78
1992-10-01,2986.236
1992-11-01,2747.898
1992-12-01,2793.15
1993-01-01,2757.834
1993-02-01,2587.662
1993-03-01,2628.828
1993-04-01,2783.898
1993-05-01,2787.129
1993-06-01,2721.528
1993-07-01,2694.24
1993-08-01,2685.456
1993-09-01,2743.596
1993-10-01,2706.444
1993-11-01,2665.224
1993-12-01,2681.784
1994-01-01,2686.824
1994-02-01,2661.498
1994-03-01,2683.404
1994-04-01,2668.77
1994-05-01,2705.238
1994-06-01,2744.46
1994-07-01,3553.914
1994-08-01,3548.049
1994-09-01,3596.257
1994-10-01,3694.03
1994-11-01,3656.241
1994-12-01,3587.448
1995-01-01,3622.27
1995-02-01,3772.176
1995-03-01,4161.092
1995-04-01,4503.828
1995-05-01,4446.176
1995-06-01,4465.468
1995-07-01,4624.572
1995-08-01,4591.10925
1995-09-01,4749.521
1995-10-01,4973.1255
1995-11-01,5082.285
1995-12-01,5002.53
1996-01-01,5509.116
1996-02-01,6067.6345
1996-03-01,6032.361
1996-04-01,5909.787
1996-05-01,5906.628
1996-06-01,6014.775
1996-07-01,5903.832
1996-08-01,5811.225
1996-09-01,5925.112
1996-10-01,6023.874
