DATE,PROILUSDM
1990-01-01,440.95
1990-02-01,422.29
1990-03-01,412.77
1990-04-01,428.8
1990-05-01,444.77
1990-06-01,430.43
1990-07-01,435.43
1990-08-01,421.39
1990-09-01,422.95
1990-10-01,429.86
1990-11-01,432.07
1990-12-01,420.13
1991-01-01,406.08
1991-02-01,404.94
1991-03-01,397.32
1991-04-01,411.23
1991-05-01,435.03
1991-06-01,415.22
1991-07-01,438.36
1991-08-01,437.68
1991-09-01,389.55
1991-10-01,408.23
1991-11-01,428.37
1991-12-01,426.62
1992-01-01,405.89
1992-02-01,387.36
1992-03-01,384.56
1992-04-01,411.06
1992-05-01,405.58
1992-06-01,450.3
1992-07-01,456.72
1992-08-01,424.65
1992-09-01,395.56
1992-10-01,355.03
1992-11-01,326.69
1992-12-01,457.77
1993-01-01,425.93
1993-02-01,419.78
1993-03-01,435.22
1993-04-01,454.7
1993-05-01,436.65
1993-06-01,441.49
1993-07-01,461.01
1993-08-01,455.04
1993-09-01,470.98
1993-10-01,472.12
1993-11-01,503.43
1993-12-01,554.24
1994-01-01,580.65
1994-02-01,576.66
1994-03-01,597.8
1994-04-01,597.51
1994-05-01,601.16
1994-06-01,597.68
1994-07-01,576.35
1994-08-01,589.28
1994-09-01,653.58
1994-10-01,730.78
1994-11-01,654.94
1994-12-01,698.77
1995-01-01,721.3
1995-02-01,653.84
1995-03-01,704.18
1995-04-01,717.4
1995-05-01,605
1995-06-01,614
1995-07-01,626.71
1995-08-01,618.43
1995-09-01,583.96
1995-10-01,576.25
1995-11-01,594.24
1995-12-01,577.22
1996-01-01,561.62
1996-02-01,536.1
1996-03-01,519.24
1996-04-01,530.37
1996-05-01,590.66
1996-06-01,593.77
1996-07-01,582.62
1996-08-01,564.08
1996-09-01,575.36
1996-10-01,583.36
1996-11-01,572.04
1996-12-01,547.62
1997-01-01,529.62
1997-02-01,544.65
1997-03-01,528.15
1997-04-01,553.84
1997-05-01,566.75
1997-06-01,554.02
1997-07-01,543.16
1997-08-01,501.85
1997-09-01,527.88
1997-10-01,575.82
1997-11-01,686.91
1997-12-01,641.34
1998-01-01,629.61
1998-02-01,645.92
1998-03-01,647.81
1998-04-01,665.44
1998-05-01,661.6
1998-06-01,650.02
1998-07-01,608.11
1998-08-01,588.9
1998-09-01,609.95
1998-10-01,635.47
1998-11-01,609.82
1998-12-01,613.05
1999-01-01,571.28
1999-02-01,499.91
1999-03-01,430.99
1999-04-01,439.59
1999-05-01,444.23
1999-06-01,413.29
1999-07-01,398.16
1999-08-01,366.4
1999-09-01,449.56
1999-10-01,397.68
1999-11-01,368.51
1999-12-01,364.66
2000-01-01,366.05
2000-02-01,350.41
2000-03-01,353.87
2000-04-01,373.66
2000-05-01,356.05
2000-06-01,358.92
2000-07-01,343.93
2000-08-01,345.65
2000-09-01,332.81
2000-10-01,323.71
2000-11-01,315.1
2000-12-01,334.72
2001-01-01,342.98
2001-02-01,331.48
2001-03-01,351.18
2001-04-01,361.56
2001-05-01,370.56
2001-06-01,361.51
2001-07-01,371.84
2001-08-01,435.41
2001-09-01,444.65
2001-10-01,441.27
2001-11-01,432.43
2001-12-01,457.68
2002-01-01,444.03
2002-02-01,433.86
2002-03-01,409.65
2002-04-01,411.14
2002-05-01,410.06
2002-06-01,438.49
2002-07-01,469.19
2002-08-01,482.34
2002-09-01,539.45
2002-10-01,523.23
2002-11-01,565.3
2002-12-01,623.45
2003-01-01,620.67
2003-02-01,622.98
2003-03-01,554.02
2003-04-01,580.89
2003-05-01,621.58
2003-06-01,632.69
2003-07-01,611
2003-08-01,573.9
2003-09-01,547.68
2003-10-01,595.08
2003-11-01,641.81
2003-12-01,640.64
2004-01-01,688.63
2004-02-01,683.49
2004-03-01,696.37
2004-04-01,661.68
2004-05-01,742.96
2004-06-01,749.29
2004-07-01,876.53
2004-08-01,722.35
2004-09-01,711.72
2004-10-01,651.96
2004-11-01,671.38
2004-12-01,702.05
2005-01-01,744.1
2005-02-01,728.62
2005-03-01,716.53
2005-04-01,714.29
2005-05-01,681.71
2005-06-01,678.42
2005-07-01,652.96
2005-08-01,701.2
2005-09-01,708.89
2005-10-01,774.26
2005-11-01,780.89
2005-12-01,769.72
2006-01-01,784.24
2006-02-01,791.92
2006-03-01,784.54
2006-04-01,830.28
2006-05-01,880.61
2006-06-01,888.57
2006-07-01,852.1
2006-08-01,900.99
2006-09-01,850.7
2006-10-01,838.11
2006-11-01,894.68
2006-12-01,919.08
2007-01-01,915.02
2007-02-01,864.93
2007-03-01,854.86
2007-04-01,835.79
2007-05-01,858.9
2007-06-01,903.5
2007-07-01,939.4
2007-08-01,1006.75
2007-09-01,1078.89
2007-10-01,1093.15
2007-11-01,1325.49
2007-12-01,1465.58
2008-01-01,1491.61
2008-02-01,1479.24
2008-03-01,1640.5
2008-04-01,1564.06
2008-05-01,1580.45
2008-06-01,1639.55
2008-07-01,1736.46
2008-08-01,1467.67
2008-09-01,1352.99
2008-10-01,1149.9
2008-11-01,1074.19
2008-12-01,907.9
2009-01-01,840.72
2009-02-01,767.78
2009-03-01,731.63
2009-04-01,802.12
2009-05-01,901.37
2009-06-01,910.48
2009-07-01,857.4
2009-08-01,875.75
2009-09-01,856.85
2009-10-01,885.83
2009-11-01,923.98
2009-12-01,920.23
2010-01-01,915.634080952381
2010-02-01,900.989825
2010-03-01,909.795917391304
2010-04-01,907.874604545454
2010-05-01,861.851119047619
2010-06-01,876.045436363636
2010-07-01,945.754472727273
2010-08-01,1012.83677727273
2010-09-01,1031.50738636364
2010-10-01,1149.24637142857
2010-11-01,1243.95385909091
2010-12-01,1385.48456521739
2011-01-01,1441.41652857143
2011-02-01,1419.267
2011-03-01,1416.70472173913
2011-04-01,1446.91007142857
2011-05-01,1415.51200909091
2011-06-01,1404.24158181818
2011-07-01,1393.9468047619
2011-08-01,1356.6505
2011-09-01,1310.83877727273
2011-10-01,1268.96513809524
2011-11-01,1280.64808181818
2011-12-01,1244.42681363636
2012-01-01,1253.12027727273
2012-02-01,1297.2055047619
2012-03-01,1288.75260454545
2012-04-01,1304.06315238095
2012-05-01,1236.62266521739
2012-06-01,1182.6853047619
2012-07-01,1209.43215
2012-08-01,1221.66654782609
2012-09-01,1267.898245
2012-10-01,1216.49266956522
2012-11-01,1199.95621818182
2012-12-01,1191.08074714286
2013-01-01,1208.0832
2013-02-01,1217.642295
2013-03-01,1162.4227152381
2013-04-01,1130.70445227273
2013-05-01,1117.66320304348
2013-06-01,1115.861602
2013-07-01,1003.37275
2013-08-01,991.211665454545
2013-09-01,985.022421904762
2013-10-01,1009.27474478261
2013-11-01,1021.48707095238
2013-12-01,1007.59678954545
2014-01-01,951.764827826087
2014-02-01,974.823446
2014-03-01,1014.2595647619
2014-04-01,1008.34933954545
2014-05-01,948.998573181818
2014-06-01,932.074471904762
2014-07-01,880.603739565218
2014-08-01,848.766658095238
2014-09-01,819.573948181818
2014-10-01,837.267998695652
2014-11-01,826.530475
2014-12-01,809.406214782609
2015-01-01,774.332090909091
2015-02-01,747.448271
2015-03-01,743.426433636364
2015-04-01,742.288576818182
2015-05-01,763.780086190476
2015-06-01,811.746834863636
2015-07-01,796.461028695652
2015-08-01,754.408904285714
2015-09-01,767.198350909091
2015-10-01,805.175656818182
2015-11-01,778.372963333333
2015-12-01,810.667671739131
2016-01-01,777.903425238095
2016-02-01,778.936146666667
2016-03-01,767.374764782609
2016-04-01,805.604525238095
2016-05-01,798.869667272727
2016-06-01,788.774355909091
2016-07-01,764.353752380953
2016-08-01,818.879502608696
2016-09-01,848.637222272727
2016-10-01,900.38905
2016-11-01,896.353904545455
2016-12-01,917.339713636363
2017-01-01,917.373227272727
2017-02-01,872.3303565
2017-03-01,839.915257391304
2017-04-01,823.0287205
2017-05-01,833.627775652174
2017-06-01,830.437526363636
2017-07-01,866.075945714286
2017-08-01,874.811255652174
2017-09-01,890.773185238095
2017-10-01,898.620280454545
2017-11-01,938.896672727273
2017-12-01,877.510107142857
2018-01-01,842.578376956522
2018-02-01,822.213361
2018-03-01,795.606224090909
2018-04-01,791.391853809524
2018-05-01,808.139770434782
2018-06-01,818.629262380952
2018-07-01,842.596240909091
2018-08-01,852.796696956522
2018-09-01,841.173709
2018-10-01,870.23825826087
2018-11-01,850.794377727273
2018-12-01,819.409514285714
2019-01-01,839.940769565217
2019-02-01,818.466435789474
2019-03-01,801.679027619047
2019-04-01,800.198136818182
2019-05-01,814.511911739131
2019-06-01,832.064788
2019-07-01,840.739292608696
2019-08-01,881.525216818182
2019-09-01,901.676779047619
2019-10-01,889.842015652174
2019-11-01,901.01172047619
2019-12-01,922.311355
2020-01-01,940.321453043478
2020-02-01,890.0421225
2020-03-01,793.10661
2020-04-01,759.340121363636
2020-05-01,792.7317
2020-06-01,848.163830909091
2020-07-01,891.3357
2020-08-01,924.926660952381
2020-09-01,943.439127272727
2020-10-01,947.8875
2020-11-01,952.790333333333
2020-12-01,978.2745
2021-01-01,979.961
